2022-07-13 10:27:40,056 |INFO| __init__: 47 | Formatting proxy
2022-07-13 10:28:37,147 |INFO| __init__: 47 | Formatting proxy
2022-07-13 10:29:39,141 |INFO| __init__: 47 | Formatting proxy
2022-07-13 10:31:18,870 |INFO| __init__: 47 | Formatting proxy
2022-07-13 10:31:52,873 |INFO| __init__: 47 | Formatting proxy
2022-07-13 10:42:59,957 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:43:18,450 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:44:02,938 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:52:43,835 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:54:57,325 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:56:27,040 |INFO| __init__: 51 | Formatting proxy
2022-07-13 10:56:36,161 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:02:35,017 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:07:07,075 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:09:47,405 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:10:36,410 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:19:34,487 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:25:31,696 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:27:59,853 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:29:40,349 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:32:35,481 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:33:44,423 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:35:24,194 |INFO| __init__: 51 | Formatting proxy
2022-07-13 11:36:09,611 |INFO| __init__: 51 | Formatting proxy
